% do not modify the content
% generated by machine
% format: dimension   meta_grid
%         bssid       signal_strength
%         ......      ......

8 1
00:1F:41:6C:E6:F8 -69
00:22:75:26:6B:91 -90
00:E0:FC:1A:D5:07 -85
00:1F:41:2C:E6:F8 -70
00:24:01:65:70:A9 -81
00:22:93:26:1D:40 -85
00:15:EB:4D:1D:FA -87
00:15:EB:4D:1D:FC -88

16 106
00:18:39:CC:77:46 -51
00:23:EB:3A:11:D0 -63
00:23:EB:0A:C1:75 -59
00:17:DF:AA:9B:A3 -77
00:23:EB:3A:10:90 -57
00:23:EB:0B:42:A1 -76
00:23:EB:3A:12:20 -41
00:23:EB:0B:52:00 -80
00:25:84:23:1B:B1 -75
00:23:EB:3A:10:50 -48
00:23:EB:3A:11:30 -62
00:18:39:CC:77:49 -72
00:23:EB:0B:51:55 -67
00:23:EB:3A:0F:00 -57
00:23:EB:3A:17:A0 -75
00:25:84:23:1D:D0 -68

17 106
00:18:39:CC:77:46 -46
00:23:EB:3A:11:D0 -65
00:17:DF:AA:9B:A2 -67
00:17:DF:AA:9B:A3 -67
00:17:DF:AA:9B:A1 -77
00:25:84:23:1B:B0 -74
00:25:84:23:1C:71 -63
00:23:EB:3A:10:90 -56
00:23:EB:0B:42:A1 -69
00:23:EB:3A:12:20 -45
00:23:EB:0B:42:A0 -64
00:25:84:23:1B:B1 -74
00:23:EB:0A:BE:11 -80
00:23:EB:3A:10:50 -46
00:18:39:CC:77:49 -73
00:23:EB:0A:C1:B5 -83
00:23:EB:3A:0F:00 -58

21 106
00:23:EB:3A:11:D0 -69
00:18:39:CC:77:46 -49
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A2 -67
00:17:DF:AA:9B:A3 -66
00:17:DF:AA:9B:A0 -71
00:25:84:23:1B:B0 -74
00:23:EB:3A:10:90 -55
00:25:84:23:1C:71 -60
00:23:EB:3A:12:20 -45
00:23:EB:0B:42:A1 -64
00:23:EB:0B:42:A0 -65
00:25:84:23:1B:B1 -72
00:25:84:23:1C:70 -61
00:23:EB:3A:10:50 -48
00:23:EB:0B:51:55 -67
00:18:39:CC:77:49 -74
00:23:EB:0A:C1:B5 -82
00:25:84:23:16:31 -82
00:23:EB:3A:0F:00 -57
00:25:84:23:1D:D0 -69

16 106
00:18:39:CC:77:46 -48
00:23:EB:3A:11:D0 -67
00:17:DF:AA:9B:A2 -67
00:23:EB:0A:C1:75 -61
00:17:DF:AA:9B:A3 -66
00:17:DF:AA:9B:A0 -67
00:25:84:23:1C:71 -65
00:23:EB:3A:10:90 -53
00:23:EB:3A:12:20 -43
00:25:84:23:1B:B1 -72
00:23:EB:0B:42:A0 -65
00:23:EB:3A:10:50 -47
00:18:39:CC:77:49 -74
00:23:EB:0B:51:55 -66
00:25:84:23:16:31 -82
00:23:EB:0A:C1:B5 -82

17 106
00:23:EB:3A:11:D0 -66
00:18:39:CC:77:46 -51
00:23:EB:0A:C1:75 -59
00:17:DF:AA:9B:A3 -68
00:17:DF:AA:9B:A0 -66
00:17:DF:AA:9B:A1 -69
