% do not modify the content
% generated by machine
% format: dimension   meta_grid
%         bssid       signal_strength
%         ......      ......

21 1
00:17:DF:AA:9B:A2 -80
00:17:DF:AA:9B:A3 -80
00:17:DF:AA:9B:A0 -79
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -80
00:17:DF:AA:9B:A1 -81
00:23:EB:3A:14:30 -71
00:23:EB:3A:15:00 -23
00:23:EB:0A:C1:E0 -50
00:23:EB:0A:BF:50 -59
00:23:EB:0A:C0:35 -56
00:23:EB:0A:BE:25 -62
00:27:19:D6:F9:14 -69
00:23:EB:3A:15:60 -83
00:25:84:22:EF:70 -52
00:21:55:60:EA:76 -81
00:17:DF:AA:9E:C3 -41
00:17:DF:AA:9E:C1 -40
00:23:EB:3A:13:21 -79
00:17:DF:AA:9E:C2 -41
00:23:EB:0B:50:50 -74

20 1
00:17:DF:AA:9B:A2 -79
00:17:DF:AA:9B:A3 -80
00:17:DF:AA:9B:A0 -79
00:17:DF:AA:9E:C0 -42
00:17:DF:AA:9B:A1 -81
00:23:EB:0B:50:60 -80
00:23:EB:3A:14:30 -71
00:23:EB:3A:15:00 -23
00:23:EB:0A:C1:E0 -50
00:23:EB:0A:BF:50 -60
00:23:EB:0A:BE:25 -62
00:27:19:D6:F9:14 -69
00:23:EB:3A:15:60 -83
00:25:84:22:EF:70 -50
00:21:55:60:EA:76 -81
00:17:DF:AA:9E:C3 -42
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -79
00:17:DF:AA:9E:C2 -41
00:23:EB:0B:50:50 -74

21 1
00:25:84:23:00:10 -83
00:17:DF:AA:9B:A3 -81
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -73
00:23:EB:3A:15:00 -24
00:23:EB:0A:C0:35 -55
00:23:EB:0A:BF:50 -59
00:23:EB:0A:BE:25 -62
00:27:19:D6:F9:14 -71
00:25:84:22:EF:70 -58
00:17:DF:AA:9E:C3 -42
00:21:55:60:EA:76 -81
00:17:DF:AA:9E:C1 -42
00:23:EB:3A:13:20 -79
00:21:55:60:EA:74 -81
00:23:EB:3A:13:21 -73
00:17:DF:AA:9E:C2 -42
00:21:55:60:EA:72 -76
00:21:55:60:EA:73 -80
00:21:55:60:EA:70 -76
00:21:55:60:EA:71 -76

19 1
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -67
00:23:EB:3A:15:00 -27
00:23:EB:0A:C1:E0 -66
00:23:EB:0A:C0:35 -53
00:23:EB:0A:CC:95 -78
00:23:EB:0A:BE:25 -67
00:27:19:D6:F9:14 -71
00:25:84:22:EF:70 -57
00:21:55:60:EA:76 -76
00:17:DF:AA:9E:C3 -41
00:25:84:23:23:E0 -80
00:21:55:60:EA:74 -77
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -73
00:17:DF:AA:9E:C2 -40
00:21:55:60:EA:72 -83
00:21:55:60:EA:73 -76
00:21:55:60:EA:71 -83

18 1
00:25:84:23:00:10 -79
00:17:DF:AA:9B:A0 -82
00:17:DF:AA:9E:C0 -40
00:23:EB:3A:14:30 -69
00:23:EB:3A:15:00 -26
00:23:EB:0A:C1:E0 -56
00:23:EB:0A:BF:50 -59
00:23:EB:0A:C0:35 -51
00:27:19:D6:F9:14 -73
00:23:EB:3A:15:60 -77
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -41
00:23:EB:3A:13:20 -76
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -80
00:17:DF:AA:9E:C2 -44
00:21:55:60:EA:72 -79
00:21:55:60:EA:71 -75

18 1
00:25:84:23:00:10 -79
00:17:DF:AA:9B:A0 -82
00:17:DF:AA:9E:C0 -40
00:23:EB:3A:14:30 -70
00:23:EB:0A:C1:E0 -63
00:23:EB:3A:15:00 -27
00:23:EB:0A:BF:50 -61
00:23:EB:0A:C0:35 -55
00:27:19:D6:F9:14 -73
00:23:EB:3A:15:60 -77
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -41
00:23:EB:3A:13:20 -76
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -80
00:17:DF:AA:9E:C2 -44
00:21:55:60:EA:72 -83
00:21:55:60:EA:71 -75

19 1
00:25:84:23:00:10 -79
00:25:45:A5:20:40 -79
00:17:DF:AA:9B:A0 -81
00:17:DF:AA:9E:C0 -42
00:23:EB:3A:14:30 -70
00:23:EB:0A:C1:E0 -63
00:23:EB:3A:15:00 -22
00:23:EB:0A:BF:50 -61
00:23:EB:0A:C0:35 -55
00:27:19:D6:F9:14 -71
00:23:EB:3A:15:60 -79
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -41
00:23:EB:3A:13:20 -77
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -80
00:17:DF:AA:9E:C2 -44
00:21:55:60:EA:72 -83
00:21:55:60:EA:71 -78

20 1
00:25:84:23:00:10 -78
00:25:45:A5:20:40 -79
00:17:DF:AA:9B:A3 -81
00:17:DF:AA:9B:A0 -81
00:17:DF:AA:9E:C0 -41
00:23:EB:3A:14:30 -71
00:23:EB:0A:C1:E0 -63
00:23:EB:3A:15:00 -39
00:23:EB:0A:BF:50 -59
00:23:EB:0A:C0:35 -52
00:27:19:D6:F9:14 -70
00:23:EB:3A:15:60 -80
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -42
00:23:EB:3A:13:20 -78
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -78
00:17:DF:AA:9E:C2 -42
00:21:55:60:EA:72 -83
00:21:55:60:EA:71 -77

18 1
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9B:A3 -83
00:17:DF:AA:9E:C0 -41
00:23:EB:3A:14:30 -68
00:23:EB:0A:C1:E0 -64
00:23:EB:3A:15:00 -20
00:23:EB:0A:C0:35 -52
00:23:EB:0A:BF:50 -61
00:27:19:D6:F9:14 -68
00:23:EB:0A:BE:25 -62
00:25:84:22:EF:70 -53
00:17:DF:AA:9E:C3 -42
00:23:EB:3A:13:20 -71
00:17:DF:AA:9E:C1 -41
00:21:55:60:EA:74 -77
00:23:EB:3A:13:21 -73
00:17:DF:AA:9E:C2 -41
00:21:55:60:EA:70 -82

16 1
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -70
00:23:EB:3A:14:30 -68
00:23:EB:0A:C1:E0 -63
00:23:EB:3A:15:00 -22
00:23:EB:0A:BF:50 -61
00:23:EB:0A:C0:35 -52
00:27:19:D6:F9:14 -68
00:25:84:22:EF:70 -56
00:17:DF:AA:9E:C3 -41
00:23:EB:3A:13:20 -71
00:17:DF:AA:9E:C1 -44
00:23:EB:3A:13:21 -81
00:17:DF:AA:9E:C2 -42
00:21:55:60:EA:72 -77

18 1
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -70
00:23:EB:3A:14:30 -71
00:23:EB:0A:C1:E0 -52
00:23:EB:3A:15:00 -27
00:23:EB:0A:BF:50 -55
00:23:EB:0A:C0:35 -52
00:27:19:D6:F9:14 -70
00:25:84:22:EF:70 -56
00:17:DF:AA:9E:C3 -42
00:25:84:22:F5:D5 -78
00:23:EB:3A:13:20 -79
00:17:DF:AA:9E:C1 -44
00:23:EB:3A:13:21 -81
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -77
00:21:55:60:EA:71 -77

20 1
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -70
00:23:EB:3A:14:30 -68
00:23:EB:0A:C1:E0 -64
00:23:EB:3A:15:00 -29
00:23:EB:0A:BF:50 -61
00:23:EB:0A:C0:35 -50
00:27:19:D6:F9:14 -67
00:25:84:22:EF:70 -55
00:21:55:60:EA:76 -83
00:17:DF:AA:9E:C3 -41
00:25:84:22:F5:D5 -78
00:21:55:60:EA:74 -83
00:23:EB:3A:13:20 -79
00:17:DF:AA:9E:C1 -42
00:23:EB:3A:13:21 -81
00:17:DF:AA:9E:C2 -41
