% do not modify the content
% generated by machine
% format: dimension   meta_grid
%         bssid       signal_strength
%         ......      ......

18 67
00:23:EB:3A:13:F0 -57
00:23:EB:3A:12:20 -81
00:23:EB:3A:10:90 -52
00:25:84:22:FE:D1 -87
00:18:39:CC:77:46 -66
00:23:EB:0A:C1:E0 -83
00:17:DF:AA:9B:A3 -59
00:17:DF:AA:9B:A2 -60
00:17:DF:AA:9B:A0 -57
00:23:EB:0B:4D:A1 -73
00:23:EB:0B:4D:A0 -66
00:25:84:23:A2:D1 -73
00:17:DF:AA:9E:C3 -70
00:17:DF:AA:9E:C2 -70
00:17:DF:AA:9E:C1 -70
00:23:EB:3A:10:50 -81
00:23:EB:0B:52:00 -46
00:23:EB:3A:17:A0 -55

7 67
00:17:DF:AA:9B:A0 -43
00:23:EB:3A:10:90 -66
00:18:39:CC:77:46 -69
00:23:EB:3A:10:50 -73
00:23:EB:3A:13:F0 -69
00:17:DF:AA:9B:A3 -43
00:17:DF:AA:9B:A2 -43

17 67
00:25:84:23:A2:D1 -83
00:23:EB:3A:13:F0 -69
00:17:DF:AA:9E:C3 -71
00:23:EB:0A:BF:50 -76
00:17:DF:AA:9E:C2 -71
00:17:DF:AA:9E:C1 -74
00:17:DF:AA:9E:C0 -76
00:23:EB:3A:12:20 -76
00:23:EB:3A:10:90 -66
00:18:39:CC:77:46 -69
00:25:84:22:F6:30 -73
00:17:DF:AA:9B:A3 -43
00:17:DF:AA:9B:A2 -43
00:23:EB:0B:52:00 -53
00:17:DF:AA:9B:A0 -43
00:23:EB:3A:10:50 -73
00:23:EB:3A:17:A0 -64

6 67
00:17:DF:AA:9B:A0 -56
00:23:EB:3A:10:90 -62
00:23:EB:3A:13:F0 -63
00:25:84:22:FB:30 -84
00:17:DF:AA:9B:A3 -55
00:17:DF:AA:9B:A2 -55

18 67
00:23:EB:3A:13:F0 -63
00:23:EB:3A:12:20 -74
00:17:DF:AA:C1:23 -77
00:17:DF:AA:C1:22 -80
00:17:DF:AA:C1:20 -76
00:23:EB:3A:10:90 -62
00:25:84:22:F6:30 -83
00:25:84:22:FE:D1 -80
00:18:39:CC:77:46 -77
00:25:84:22:FB:30 -84
00:23:EB:0A:BF:50 -76
00:17:DF:AA:9B:A3 -55
00:17:DF:AA:9B:A2 -55
00:17:DF:AA:9B:A0 -56
00:23:EB:0B:4D:A1 -77
00:25:84:23:A2:D1 -83
00:23:EB:0B:52:00 -52
00:23:EB:3A:10:50 -83

15 67
00:25:84:23:A2:D1 -78
00:23:EB:3A:13:F0 -74
00:17:DF:AA:9E:C3 -78
00:23:EB:0B:4D:A1 -87
00:23:EB:0A:BF:50 -71
00:17:DF:AA:9E:C1 -73
00:23:EB:3A:12:20 -81
00:23:EB:3A:10:90 -52
00:18:39:CC:77:46 -67
00:17:DF:AA:9B:A3 -45
00:17:DF:AA:9B:A2 -43
00:23:EB:0B:52:00 -45
00:17:DF:AA:9B:A0 -43
00:23:EB:3A:17:A0 -69
00:23:EB:3A:10:50 -78

16 67
00:1E:58:3E:1C:1D -87
00:25:84:23:A2:D1 -78
00:23:EB:3A:13:F0 -74
00:17:DF:AA:9E:C3 -78
00:23:EB:0B:4D:A1 -87
00:23:EB:0A:BF:50 -71
00:17:DF:AA:9E:C1 -81
00:23:EB:3A:12:20 -81
00:23:EB:3A:10:90 -52
00:18:39:CC:77:46 -70
00:17:DF:AA:9B:A3 -45
00:17:DF:AA:9B:A2 -43
00:23:EB:0B:52:00 -45
