what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_HK",1266332581150
processors,sysinfo,,,"4",1266332581150
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266332581150
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1266332581150
java.specification.name,sysinfo,,,"Java Platform API Specification",1266332581150
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266332581150
java.specification.version,sysinfo,,,"1.6",1266332581150
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266332581150
java.version,sysinfo,,,"1.6.0_11",1266332581150
java.vm.info,sysinfo,,,"mixed mode, sharing",1266332581150
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1266332581150
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266332581150
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266332581150
java.vm.specification.version,sysinfo,,,"1.0",1266332581150
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1266332581150
java.vm.version,sysinfo,,,"11.0-b16",1266332581150
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332582476
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332584910
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1266332584988
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266332586158
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266332586189
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1266332586236
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332590479
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332591743
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332593100
